Timestamp,Informed Consent options,Have you fully understood the purpose of this survey and how your information will be handled?,What gender do you identify as?,What is your age?,What is the highest level of education you have completed?,What is your current work status?,How do you pay for the majority of your medical expenses?,What is your average monthly household income?,"The hospital should have modern, up-to-date equipment","The hospital's physical facilities should be clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees should be well-dressed and have a neat and professional appearance,Materials associated with the service should be visually appealing,"When a hospital employee promises to do something by a particular time, they should do it","When a patient has a problem, the hospital's employees should show a sincere interest in solving it",The hospital should provide its services at the time it promises to do,The hospital should always get things right the first time,The hospital should maintain accurate and error-free records,The hospital's employees should tell the patient exactly when services will be performed,The hospital's employees should provide prompt service to patients,The hospital's employees should always be willing to help patients,The hospital's employees should never be too busy to respond to patients' requests,The behaviour and attitudes of hospital employees should instill confidence in patients,Patients should feel safe in all their dealings with the hospital and its employees,Hospital employees should be consistently courteous to patients,Hospital employees should be knowledgeable and able to answer patients' questions,The hospital should give each patient individualised attention,The hospital's employees should express care in their interaction with patients,The hospital and its employees should have the patients' best interests at heart,The hospital's employees should understand the specific needs of each of their patients,The operating hours of the hospital should be convenient for all its patients,"The hospital has modern, up-to-date equipment","The hospital's physical facilities are clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees are well-dressed and have a neat and professional appearance,Materials associated with the service are visually appealing,"When a hospital employee promises to do something by a particular time, they do it","When a patient has a problem, the hospital's employees show a sincere interest in solving it",The hospital provides its services at the time it promises to do,The hospital always gets things right the first time,The hospital maintains accurate and error-free records,The hospital's employees tell the patients exactly when services will be performed,The hospital's employees provide prompt service to patients,The hospital's employees are always willing to help patients,The hospital's employees are never too busy to respond to patients' requests,The behaviour and attitudes of hospital employees instill confidence in patients,Patients feel safe in all their dealings with the hospital and its employees,The hospital's employees are consistently courteous to patients,The hospital's employees are knowledgeable and able to answer patients' questions,The hospital gives each patient individualised attention,The hospital's employees express care in their interaction with patients,The hospital and its employees have the patients' best interests at heart,The hospital's employees understand the specific needs of each of their patients,The operating hours of the hospital are convenient for all its patients,Which feature is the most important to you?,"Considering your overall experience at Halisi family Hospital, how likely are you to recommend Halisi Family Hospital to your family and friends?",What can we do to improve your experience?,
5/14/2024 15:04:55,I agree to participate in the survey,Yes,Male,18 - 44,Certificate or Diploma,Unemployed,NHIF Only,"49,999 and below",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,9,The reception staff should be the face of the hospital. they should be good looking and smiling faces,
5/14/2024 15:05:05,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Unemployed,"Out of Pocket - Cash,Mpesa,Credit or Debit Card, NHIF Only","49,999 and below",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,Too much time is spent waiting for service. ,
5/14/2024 15:39:36,I agree to participate in the survey,Yes,Male,18 - 44,Prefer not to say,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,9,So far so good. But improve on communication f=by your receptionists,
5/14/2024 15:46:26,I agree to participate in the survey,Yes,Female,18 - 44,Prefer not to say,Employed,Private Health Insurance provided by my employer,"49,999 and below",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,9,Nothing to add,
5/14/2024 15:50:08,I agree to participate in the survey,Yes,Male,18 - 44,Prefer not to say,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,Good services so far,
5/14/2024 15:54:32,I agree to participate in the survey,Yes,Female,18 - 44,Prefer not to say,Employed,Private Health Insurance provided by my employer,Prefer not to say,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Empathy : The level of caring and individualised attention the hospital provides its patients.,8,There should be more female doctors as well.,
5/14/2024 15:56:02,I agree to participate in the survey,Yes,Female,45-59,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,10,Shorten the time taken to discharge a patient from the hospital,
5/14/2024 16:05:31,I agree to participate in the survey,Yes,Female,45-59,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"100,000-149,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,Your discharge process is too long. If you can shorten it the better!,
5/14/2024 16:21:25,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Self-Employed,"Out of Pocket - Cash,Mpesa,Credit or Debit Card",Prefer not to say,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,The hospital is looking good and appealing. I want us offers and discounts,
5/14/2024 16:22:45,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,8,The reception and accounts should be separated,
5/14/2024 16:34:42,I agree to participate in the survey,Yes,Male,18 - 44,Prefer not to say,Employed,Private Health Insurance provided by my employer,Prefer not to say,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,9,I had a good experience. Keep it up,
5/14/2024 16:40:48,I agree to participate in the survey,Yes,Female,45-59,Prefer not to say,Employed,NHIF Only,"50,000-99,999",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Good job,
5/14/2024 16:44:55,I agree to participate in the survey,Yes,Female,45-59,Prefer not to say,Employed,NHIF Only,Prefer not to say,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Reduce waiting times on the discharge of patients at the inpatient,
5/14/2024 17:14:53,I agree to participate in the survey,Yes,Male,45-59,Postgraduate Degree ( Master's Degree or Higher),Prefer not to say,Prefer not to say,Prefer not to say,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Put road signs to help in directions,
5/14/2024 17:24:30,I agree to participate in the survey,Yes,Female,45-59,Prefer not to say,Prefer not to say,"NHIF Only, Private Health Insurance provided by my employer","49,999 and below",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Reduce your wait time,
5/14/2024 17:27:13,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,"NHIF Only, Private Health Insurance provided by my employer","50,000-99,999",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,All good,
5/14/2024 17:46:56,I agree to participate in the survey,Yes,Female,45-59,Prefer not to say,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Everything is good. However improve coordination between departments,
5/14/2024 17:52:08,I agree to participate in the survey,Yes,Male,45-59,Prefer not to say,Employed,Private Health Insurance provided by my employer,Prefer not to say,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,"Put more services like dental, optical and ambulance",
5/14/2024 17:55:35,I agree to participate in the survey,Yes,Male,45-59,Bachelor's Degree,Employed,"Private Health Insurance provided by my employer, Private Health Insurance purchased by self",Prefer not to say,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,8,"The reception should be more attentive to the patient needs , that is the face of the hospital. The should find a balance between receiving people and receiving payment.",
5/14/2024 17:58:34,I agree to participate in the survey,Yes,Female,Prefer not to say,Prefer not to say,Prefer not to say,Private Health Insurance provided by my employer,Prefer not to say,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,Your catering utensil needs to be improved and reflect the face of your hospital,
5/14/2024 18:07:23,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,"NHIF Only, Private Health Insurance provided by my employer","50,000-99,999",Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,7,"Stock the pharmacy and also try to make the prices be affordable, this isn't the case since the drugs prescribed can be gotten cheaply outside the hospital",
5/14/2024 18:08:08,I agree to participate in the survey,Yes,Female,Prefer not to say,Prefer not to say,Prefer not to say,Private Health Insurance provided by my employer,Prefer not to say,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,8,Employ good receptionists. And your nurses are slow,
5/14/2024 18:11:43,I agree to participate in the survey,Yes,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,Everything is fine for me,
5/14/2024 18:13:31,I agree to participate in the survey,Yes,Female,45-59,Bachelor's Degree,Self-Employed,Private Health Insurance purchased by self,Prefer not to say,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,Improve your turn around time at the Lab,
5/15/2024 10:50:20,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Employed,"NHIF Only, Private Health Insurance provided by my employer, Private Health Insurance purchased by self","50,000-99,999",Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,Just keep up the good work and be more courteous,
5/15/2024 13:05:53,I agree to participate in the survey,Yes,Male,45-59,Bachelor's Degree,Self-Employed,"NHIF Only, Private Health Insurance purchased by self","49,999 and below",Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,10,Reduce the amount of time it takes to discharge a patient. It shouldn't take more than 2 hours,
5/15/2024 14:29:21,I agree to participate in the survey,Yes,Male,45-59,Bachelor's Degree,Employed,"NHIF Only, Private Health Insurance purchased by self",Prefer not to say,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,8,I'm good,
5/15/2024 14:47:38,I agree to participate in the survey,Yes,Female,45-59,Bachelor's Degree,Self-Employed,Private Health Insurance purchased by self,"100,000-149,999",Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,"Tangibles : The appearance of the hospital's facilities, equipment, personnel, and communication materials.",10,I loved the maternity services offered. The doctor was with me throughout the period and paid answered all my questions with regards to normal delivery and CS. Keep up the good work.,
5/15/2024 14:59:21,I agree to participate in the survey,Yes,Male,18 - 44,Certificate or Diploma,Unemployed,NHIF Only,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,7,This took so long,
5/15/2024 15:11:33,I agree to participate in the survey,Yes,Male,45-59,Bachelor's Degree,Employed,"NHIF Only, Private Health Insurance purchased by self",Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,1,The receptionist rely so much on the ticketing system and forget to be attentive to the patients. I also waited for some time to see a doctor yet l was feeling very sick; one can pass out on the line. ,
5/15/2024 15:18:50,I agree to participate in the survey,Yes,Female,18 - 44,Secondary Education,Unemployed,NHIF Only,Prefer not to say,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Not all the drugs l needed were in the chemist,
5/15/2024 15:31:39,I agree to participate in the survey,Yes,Male,45-59,Bachelor's Degree,Employed,"NHIF Only, Private Health Insurance purchased by self","100,000-149,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,7,Nurses should always be readily stationed at the triage,
5/15/2024 15:59:31,I agree to participate in the survey,Yes,Male,45-59,Certificate or Diploma,Employed,"NHIF Only, Private Health Insurance provided by my employer, Private Health Insurance purchased by self","50,000-99,999",Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,9,It's just ok,
5/15/2024 16:09:45,I agree to participate in the survey,Yes,Female,45-59,Certificate or Diploma,Self-Employed,"NHIF Only, Private Health Insurance purchased by self",Prefer not to say,Strongly Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,Website not accessible ,
5/15/2024 16:10:50,I agree to participate in the survey,Yes,Male,45-59,Bachelor's Degree,Employed,"NHIF Only, Private Health Insurance purchased by self",Prefer not to say,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,9,long queue,
